Test Case ID,Test Description,fullName,username,password,email,phone,identityType,identityNumber,dateOfBirth,secretQuestionId,secretQuestionAnswer,imported,Expected Result,
TC01,Valid Sign-Up with all required fields,John Doe,john.doe,password123,john.doe@example.com,8.80172E+12,NATIONAL_ID,1.23457E+12,15-05-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,My answer,TRUE,Success,
TC02,Valid Sign-Up with phone starting with local format,Jane Smith,jane.smith,password456,jane.smith@example.com,1717112233,NATIONAL_ID,9.87654E+16,10-10-85,3fa85f64-5717-4562-b3fc-2c963f66afa6,Another answer,FALSE,Success,
TC03,Invalid NID with 8 digits (fails length validation),John Doe,john.doe,password123,john.doe@example.com,8.80172E+12,NATIONAL_ID,12345678,15-05-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,My answer,TRUE,"Error: NID must be 10, 13  or 17 digits",
TC04,Valid NID with 10 digits,John Smith,john.smith,password789,john.smith@example.com,1717112233,NATIONAL_ID,1234567890,01-01-95,3fa85f64-5717-4562-b3fc-2c963f66afa6,Security answer,TRUE,Success,13
TC05,Invalid Date of Birth (younger than 25),Young User,young.user,password123,young.user@example.com,8.80172E+12,NATIONAL_ID,9.87654E+12,01-01-00,3fa85f64-5717-4562-b3fc-2c963f66afa6,Answer,TRUE,Error: Date of Birth must indicate at least 25 years old,13
TC14,SQL Injection in username,Malicious User,' OR 1=1 -- ,password123,malicious.user@example.com,8.80172E+12,NATIONAL_ID,1.23457E+12,15-05-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,My answer,TRUE,Error: Invalid username (SQL Injection attempt),13
TC15,SQL Injection in email,Malicious User,malicioususer,password123,' OR 1=1 -- ,8.80172E+12,NATIONAL_ID,9.87654E+12,15-05-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,Answer,TRUE,Error: Invalid email (SQL Injection attempt),13
TC16,XSS Attack in fullName,xssuser,password123,xss.user@example.com,8.80172E+12,NATIONAL_ID,1.23457E+12,20-06-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,XSS,TRUE,Error: Invalid input (XSS attempt),,13
TC17,XSS Attack in secretQuestionAnswer,Safe User,safeuser,password123,safe.user@example.com,8.80172E+12,NATIONAL_ID,1.23457E+12,15-05-90,3fa85f64-5717-4562-b3fc-2c963f66afa6,<script>alert('XSS')</script>,TRUE,Error: Invalid secret question answer (XSS attempt),13
TC18,Weak password (too short),Test User,weakpass,123,weakpass.user@example.com,8.80172E+12,NATIONAL_ID,1.12233E+12,19-03-92,3fa85f64-5717-4562-b3fc-2c963f66afa6,Security,TRUE,Error: Password too weak,13
TC19,Weak password (no special characters),Test User,nospecialchar,abcdefg123,nospecial.user@example.com,8.80172E+12,NATIONAL_ID,1.12233E+12,12-08-91,3fa85f64-5717-4562-b3fc-2c963f66afa6,Security,TRUE,Error: Password must contain at least one special character,13
